block,N,list_letter,condsFile
1,1,d,lists/1d.csv
1,2,g,lists/2g.csv
1,3,c,lists/3c.csv
1,4,a,lists/4a.csv
1,5,e,lists/5e.csv
2,1,j,lists/1j.csv
2,2,b,lists/2b.csv
2,3,j,lists/3j.csv
2,4,i,lists/4i.csv
2,5,j,lists/5j.csv
3,1,g,lists/1g.csv
3,2,a,lists/2a.csv
3,3,i,lists/3i.csv
3,4,j,lists/4j.csv
3,5,a,lists/5a.csv
4,1,e,lists/1e.csv
4,2,i,lists/2i.csv
4,3,d,lists/3d.csv
4,4,f,lists/4f.csv
4,5,h,lists/5h.csv
5,1,h,lists/1h.csv
5,2,j,lists/2j.csv
5,3,b,lists/3b.csv
5,4,g,lists/4g.csv
5,5,g,lists/5g.csv
6,1,a,lists/1a.csv
6,2,h,lists/2h.csv
6,3,f,lists/3f.csv
6,4,d,lists/4d.csv
6,5,f,lists/5f.csv
7,1,f,lists/1f.csv
7,2,e,lists/2e.csv
7,3,e,lists/3e.csv
7,4,e,lists/4e.csv
7,5,c,lists/5c.csv
8,1,b,lists/1b.csv
8,2,f,lists/2f.csv
8,3,h,lists/3h.csv
8,4,h,lists/4h.csv
8,5,d,lists/5d.csv
9,1,c,lists/1c.csv
9,2,c,lists/2c.csv
9,3,a,lists/3a.csv
9,4,b,lists/4b.csv
9,5,b,lists/5b.csv
10,1,i,lists/1i.csv
10,2,d,lists/2d.csv
10,3,g,lists/3g.csv
10,4,c,lists/4c.csv
10,5,i,lists/5i.csv
