block,N,list_letter,condsFile
1,1,g,lists/1g.csv
1,2,d,lists/2d.csv
1,3,d,lists/3d.csv
1,4,j,lists/4j.csv
1,5,g,lists/5g.csv
2,1,c,lists/1c.csv
2,2,b,lists/2b.csv
2,3,j,lists/3j.csv
2,4,a,lists/4a.csv
2,5,e,lists/5e.csv
3,1,a,lists/1a.csv
3,2,e,lists/2e.csv
3,3,g,lists/3g.csv
3,4,b,lists/4b.csv
3,5,a,lists/5a.csv
4,1,b,lists/1b.csv
4,2,g,lists/2g.csv
4,3,a,lists/3a.csv
4,4,h,lists/4h.csv
4,5,c,lists/5c.csv
5,1,i,lists/1i.csv
5,2,a,lists/2a.csv
5,3,b,lists/3b.csv
5,4,c,lists/4c.csv
5,5,d,lists/5d.csv
6,1,j,lists/1j.csv
6,2,c,lists/2c.csv
6,3,i,lists/3i.csv
6,4,g,lists/4g.csv
6,5,h,lists/5h.csv
7,1,h,lists/1h.csv
7,2,h,lists/2h.csv
7,3,h,lists/3h.csv
7,4,f,lists/4f.csv
7,5,f,lists/5f.csv
8,1,e,lists/1e.csv
8,2,i,lists/2i.csv
8,3,f,lists/3f.csv
8,4,d,lists/4d.csv
8,5,j,lists/5j.csv
9,1,f,lists/1f.csv
9,2,j,lists/2j.csv
9,3,e,lists/3e.csv
9,4,e,lists/4e.csv
9,5,b,lists/5b.csv
10,1,d,lists/1d.csv
10,2,f,lists/2f.csv
10,3,c,lists/3c.csv
10,4,i,lists/4i.csv
10,5,i,lists/5i.csv
